Topics,Title,Summary,Wiki_url
Basketball,UConn Huskies women's basketball,"The UConn Huskies women's basketball team is the college basketball program representing the University of Connecticut in Storrs, Connecticut, in the NCAA Division I women's basketball competition. They currently play in the Big East Conference.
The UConn Huskies are the most successful women's basketball program in the nation, having won a record 12 NCAA Division I National Championships and a women's record four in a row, from 2013 through 2016, plus over 50 conference regular season and tournament championships. They have taken part in every NCAA tournament since 1989; as of the end of the 2018–19 season, this is the third-longest active streak in Division I. From 2008 to 2022, they appeared in a record 14 consecutive Final Fours.
UConn owns the two longest winning streaks (men's or women's) in college basketball history. The longest streak, 111 straight wins, started with a win against Creighton University on November 23, 2014, and ended on March 31, 2017, when a buzzer-beater at the end of overtime caused a 66–64 loss in the 2017 NCAA Final Four to Mississippi State. The second streak counts 90 consecutive wins, including two undefeated seasons (2008–09 and 2009–10), and was delimited by two losses against Stanford, the first on April 6, 2008, in the National Semifinals of the NCAA Tournament, and the second – three seasons later – on December 19, 2010. The Huskies also own the longest winning streak in regular-season games in college history; after an overtime loss to Stanford on November 17, 2014, they won their next 126 regular-season games until a 68–57 loss to Baylor on January 3, 2019.
UConn's current head coach is Luigi ""Geno"" Auriemma, who joined the team in 1985. Auriemma is the most successful coach in college basketball. His 1250 wins are the most by any NCAA coach in any sport, and his 1250–165 (.883) record as of April 2025 represents the highest winning percentage among NCAA basketball coaches (minimum 10 seasons), any level, men's or women's.
UConn has also been one of the leaders in women's basketball attendance; the team plays its home games at both Harry A. Gampel Pavilion in Storrs and the XL Center in Hartford.",https://en.wikipedia.org/wiki/UConn_Huskies_women's_basketball
Basketball,List of NCAA Division I men's basketball champions,"The National Collegiate Athletic Association (NCAA) Division I men's basketball tournament is a single-elimination tournament for men's college basketball teams in the United States. It determines the champion of Division I, the top level of play in the NCAA, and the media often describes the winner as the national champion of college basketball. The NCAA Tournament has been held annually since 1939, except for 2020, when it was cancelled because of the COVID-19 pandemic in the U.S. Its field grew from eight teams in the beginning to sixty-five teams by 2001; as of 2011, sixty-eight teams take part in the tournament. Teams can gain invitations by winning a conference championship or receiving an at-large bid from a 10-person committee. The semifinals of the tournament are known as the Final Four and are held in a different city each year, along with the championship game; Indianapolis, the city where the NCAA is based, will host the Final Four every five years until 2040. Each winning university receives a rectangular, gold-plated trophy made of wood.
The first NCAA tournament was organized by the National Association of Basketball Coaches. Oregon won the inaugural tournament, defeating Ohio State 46–33 in the first championship game. Before the 1941 tournament, control of the event was given to the NCAA. In the early years of the tournament, it was considered less important than the National Invitation Tournament (NIT), a New York City-based event. Teams were able to compete in both events in the same year, and three of those that did so—Utah in 1944, Kentucky in 1949, and City College of New York (CCNY) in 1950—won the NCAA Tournament. The 1949–50 CCNY team won both tournaments (defeating Bradley in both finals), and is the only college basketball team to accomplish this feat. By the mid-1950s, the NCAA Tournament became the more prestigious of the two events, and in 1971 the NCAA barred universities from playing in other tournaments, such as the NIT, if they were invited to the NCAA Tournament. Only twice has there been no national champion in a calendar year. The first occurrence was when the 2013 championship won by Louisville became the first men's basketball national title to ever be vacated by the NCAA after the school and its coach at the time, Rick Pitino, were implicated in a 2015 sex scandal involving recruits. A situation in which no official winner was declared did not happen again until the 2020 cancellation.
The University of California, Los Angeles (UCLA) has been the most successful college in the NCAA Tournament, winning 11 national titles. Ten of those championships came during a 12-year stretch from 1964 to 1975. UCLA also holds the record for the most consecutive championships, winning seven in a row from 1967 to 1973. Kentucky has the second-most titles, with eight. North Carolina and Connecticut are tied for third with six championships each, while Duke and Indiana follow with five each. Connecticut is the most recent champion, with consecutive wins against San Diego State in the final of the 2023 tournament and Purdue in 2024. Among head coaches, John Wooden is the all-time leader with 10 championships; he coached UCLA during their period of success in the 1960s and 1970s. Duke's Mike Krzyzewski is second all-time with five titles.

",https://en.wikipedia.org/wiki/List_of_NCAA_Division_I_men's_basketball_champions
Basketball,FIBA Basketball World Cup,"The FIBA Basketball World Cup is an international basketball competition between the senior men's national teams of the members of the International Basketball Federation (FIBA), the sport's global governing body. It takes place every four years and is considered the flagship event of FIBA. 
From its inception in 1950 until 2010, the tournament was known as the FIBA World Championship. 
The tournament structure is similar, but not identical, to that of the FIFA World Cup; the current format of the tournament involves 32 teams competing for the title at venues within the host nation.  The FIBA Basketball World Cup and the FIFA World Cup were played in the same year as each other from 1970 through 2014. A parallel event for women's teams, now known as the FIBA Women's Basketball World Cup, is also held quadrennially. From 1986 through 2014, the men's and women's championships were held in the same year, though in different countries.  Following the 2014 FIBA championships for men and women, the men's World Cup was scheduled on a new four-year cycle to avoid conflict with the FIFA World Cup. The men's World Cup was held in 2019, in the year following the FIFA World Cup. The women's championship, which was renamed from ""FIBA World Championship for Women"" to ""FIBA Women's Basketball World Cup"" after its 2014 edition, will remain on the previous four-year cycle, with championships in the same year as the FIFA World Cup.
The winning team receives the Naismith Trophy, first awarded in 1967. The current champion is Germany, which defeated Serbia in the final of the 2023 tournament.
The 1994 FIBA World Championship, which was held in Canada, was the first FIBA World Cup tournament in which currently active US NBA players that had already played in an official NBA regular season game were allowed to participate. All FIBA World Championship/World Cup tournaments since then are thus considered fully professional level tournaments.",https://en.wikipedia.org/wiki/FIBA_Basketball_World_Cup
Basketball,National Basketball League,"National Basketball League may refer to:

Indian National Basketball League
Malaysia National Basketball League
National Basketball League (1898–1904), U.S., first professional men's basketball league in the world
National Basketball League (United States), 1937–49
National Basketball League (Australia)
National Basketball League (Bulgaria)
National Basketball League (Canada), 1993–94
National Basketball League of Canada
National Basketball League (China), professional men's basketball minor league in China
National Basketball League (Czech Republic)
National Basketball League (England)
National Basketball League (Indonesia)
National Basketball League (Japan)
National Basketball League (Kazakhstan)
National Basketball League (Lithuania), semi-professional men's basketball league
National Basketball League (New Zealand), semi-professional men's basketball league
National Basketball League (Philippines), professional men's basketball league
National Basketball League (Rwanda)
National Basketball League (Singapore)
National Basketball League (Uganda)
UAE National Basketball League, United Arab Emirates",https://en.wikipedia.org/wiki/National_Basketball_League
Basketball,Rules of basketball,"The rules of basketball are the rules and regulations that govern the play, officiating, equipment and procedures of basketball. While many of the basic rules are uniform throughout the world, variations do exist. Most leagues or governing bodies in North America, the most important of which are the National Basketball Association and NCAA, formulate their own rules. In addition, the Technical Commission of the International Basketball Federation (FIBA) determines rules for international play; most leagues outside North America use the complete FIBA ruleset.",https://en.wikipedia.org/wiki/Rules_of_basketball
Basketball,List of nicknames in basketball,"This is a list of nicknames in the sport of basketball. Most are related to professional basketball, although a few notable nicknames from the U.S. college game are included. 

",https://en.wikipedia.org/wiki/List_of_nicknames_in_basketball
Basketball,American Basketball Association,"The American Basketball Association (ABA) was a major professional basketball league that operated for nine seasons from 1967 to 1976. The upstart ABA operated in direct competition with the more established National Basketball Association throughout its existence; the second of two leagues established in the 1960s after the American Basketball League, the ABA was the most successful rival to the NBA. 
The league started with eleven teams; the Indiana Pacers, Kentucky Colonels, Minnesota Muskies, New Jersey Americans, and Pittsburgh Pipers were placed in the Eastern Division and the Anaheim Amigos, Dallas Chaparrals, Denver Rockets, Houston Mavericks, New Orleans Buccaneers, and Oakland Oaks in the Western Division. George Mikan served as the first league commissioner and came up with the idea for the three-point shot to go along with a 30-second shot-clock; echoing the NHL, the league named a Most Valuable Player for the entire postseason rather than for just the Finals. Select investors believed they could play their way into getting an NBA franchise by way of a merger, while Mikan did not initially want to get into a bidding war with the NBA for select players. 
While the first years of the ABA saw uneven team management (the first two champions immediately relocated after winning the championship), the offense-oriented league managed to attract select talent from players that were either ignored by the NBA, due to perceived talent issues, or because they were not eligible to play in the league. Stars that arose from these circumstances included Connie Hawkins, Roger Brown, and Doug Moe, who each had been blackballed from the NBA due to unfounded allegations of point-shaving, Spencer Haywood, who entered the league as a ""hardship exemption"" after wanting to turn pro following his sophomore season in college, and Larry Brown, who was thought to be too small to play in the NBA.
The league never had a consistent national television contract, but attracted loyal followings in select cities, most notably in Indianapolis, Denver, San Antonio, Uniondale, and Kentucky. The Pacers would win the most championships in league history, winning three with stars such as Mel Daniels, the first player with multiple MVP awards.
The ABA and NBA engaged in talks for a merger as early as 1970, but an antitrust lawsuit filed by the NBA Players Association curtailed the plans for several years. The league went after select NBA stars such as Rick Barry and Billy Cunningham to go along with luring players with a select payment plan by annuity to go along with luring respected NBA referees to the league. In the later years of the league, other stars would arise such as Dan Issel, Artis Gilmore, George Gervin, and Julius Erving. By 1976, the league was down to nine teams, with only six surviving long enough to be involved in merger talks. The ABA merged with the NBA in 1976, resulting in four teams (Pacers, Nuggets, Spurs, and Nets) joining the NBA. The final game was played on May 13, 1976, as the New York Nets defeated the Denver Nuggets for the final ABA championship. In 1979, adopting the practice of the ABA, the NBA introduced the 3-point shot.",https://en.wikipedia.org/wiki/American_Basketball_Association
Basketball,List of basketball leagues,This is a list of current and defunct basketball leagues around the world.,https://en.wikipedia.org/wiki/List_of_basketball_leagues
Basketball,Duke Blue Devils men's basketball,"The Duke Blue Devils men's basketball team represents Duke University in NCAA Division I college basketball and competes in the Atlantic Coast Conference (ACC). The team is fourth all-time in wins of any NCAA men's basketball program, and is currently coached by Jon Scheyer.
Duke has won 5 National Championships (tied with Indiana for fifth all-time behind UCLA, Kentucky, North Carolina, UConn), and appeared in 11 Championship Games (third all-time) and 18 Final Fours (third all-time). Duke has an NCAA-best .755 NCAA tournament winning percentage. Eleven Duke players have been named the National Player of the Year, and 71 players have been selected in the NBA draft.  Additionally, Duke has had 36 players named All-Americans (60 total selections) and 14 players named Academic All-Americans. Duke has been the Atlantic Coast Conference Champions a record 23 times, and also lays claim to 21 ACC regular season titles. Prior to joining the ACC, Duke won the Southern Conference championships five times. Duke has also finished the season ranked No. 1 in the AP poll eight times and is the all-time leader in total weeks ranked as the number one team in the nation by the AP with 145 weeks. Additionally, the Blue Devils have the third longest streak in the AP Top 25 in history with 200 consecutive appearances from 1996 to 2007, trailing only Kansas' 231 consecutive polls from 2009 to 2021, and UCLA's 221 consecutive polls from 1966 to 1980.",https://en.wikipedia.org/wiki/Duke_Blue_Devils_men's_basketball
Basketball,List of All-Atlantic Coast Conference men's basketball teams,"The All-Atlantic Coast Conference (ACC) men's basketball team is an annual Atlantic Coast Conference honor bestowed on the best players in the conference following every college basketball season. The selections started in the ACC inaugural season in 1953–54. At the end of the season, ten players were nominated in two teams (first and second team) as the best of the season. Since the 1989–90 season, three teams were nominated, for a total of 15 players. On some occasions (for example, 1997, 2000 and 2006), six players were selected for one of the teams, bringing the number of total selections to 16.
Players are listed by number of votes, with the player who received the most votes listed first.",https://en.wikipedia.org/wiki/List_of_All-Atlantic_Coast_Conference_men's_basketball_teams
Basketball,Basketball court,"In basketball, the basketball court is the playing surface, consisting of a rectangular floor, with baskets at each end. Indoor basketball courts are almost always made of polished wood, usually maple, with 10 feet (3.048 m)-high rims on each basket. Outdoor surfaces are generally made from standard paving materials such as concrete or asphalt. International competitions may use glass basketball courts.

",https://en.wikipedia.org/wiki/Basketball_court
